ID_num,job_title,Short_description,Skills_required,Industry,Pay_grade
928,Online Digital Brand Documentation Lead,Lead documentation for online brands,Documentation; Branding; Leadership; Communication; Technology,Marketing,Average paying
929,Remote Digital Product Partnership Lead,Lead partnerships for digital products,Partnerships; Leadership; Communication; Technology; Negotiation,Technology,Average paying
930,Online Digital Brand Release Lead,Lead releases for online brands,Release Management; Branding; Leadership; Communication; Technology,Marketing,Average paying
931,Remote Digital Product Engagement Analyst,Analyze engagement for digital products,Engagement Strategy; Analytics; Communication; Technology; Reporting,Technology,Average paying
932,Online Digital Brand Growth Lead,Lead growth for online brands,Growth Strategy; Leadership; Communication; Technology; Analytics,Marketing,High paying
933,Remote Digital Product Support Analyst,Support digital product operations,Support; Analytics; Communication; Technology; Organization,Technology,Average paying
934,Online Digital Brand Insights Analyst,Analyze insights for online brands,Analytics; Branding; Communication; Technology; Reporting,Marketing,Average paying
935,Remote Digital Product Loyalty Lead,Lead loyalty programs for digital products,Loyalty Programs; Leadership; Communication; Technology; Analytics,Technology,Average paying
936,Online Digital Brand Content Analyst,Analyze and report on brand content,Content Analysis; Branding; Communication; Technology; Reporting,Marketing,Average paying
937,Remote Digital Product Documentation Analyst,Analyze and improve product documentation,Documentation; Analysis; Communication; Technology; Writing,Technology,Average paying
938,Online Digital Brand Partnership Lead,Lead partnerships for online brands,Partnerships; Leadership; Communication; Technology; Negotiation,Marketing,Average paying
939,Remote Digital Product Campaign Analyst,Analyze digital product campaigns,Campaign Analysis; Analytics; Communication; Technology; Reporting,Technology,Average paying
940,Online Digital Brand Experience Analyst,Analyze and improve brand experiences,Brand Experience; Analytics; Communication; Technology; Reporting,Marketing,Average paying
941,Remote Digital Product Growth Analyst,Drive growth for digital products,Growth Strategy; Analytics; Communication; Technology; Reporting,Technology,Average paying
942,Online Digital Brand Support Analyst,Support online brand operations,Support; Branding; Communication; Technology; Organization,Marketing,Average paying
943,Remote Digital Product Insights Analyst,Provide insights for digital product teams,Analytics; Data Interpretation; Communication; Technology; Reporting,Technology,Average paying
944,Online Digital Brand Retention Analyst,Increase retention for online brands,Retention Strategy; Analytics; Communication; Technology; Reporting,Marketing,Average paying
945,Remote Digital Product Experience Analyst,Enhance user experience for digital products,UX; Analytics; Communication; Technology; Reporting,Technology,Average paying
946,Online Digital Brand Training Analyst,Develop training for brand teams,Training; Branding; Communication; Technology; Curriculum Design,Marketing,Average paying
947,Remote Digital Product Content Lead,Lead content strategy for digital products,Content Strategy; Communication; Technology; Analytics; Leadership,Technology,Average paying
948,Online Digital Brand Documentation Analyst,Analyze and improve brand documentation,Documentation; Branding; Communication; Technology; Writing,Marketing,Average paying
949,Remote Digital Product Partnership Analyst,Build partnerships for digital products,Partnerships; Analytics; Communication; Technology; Negotiation,Technology,Average paying
950,Online Digital Brand Release Analyst,Manage and analyze brand releases,Release Management; Branding; Communication; Technology; Reporting,Marketing,Average paying
951,Remote Digital Product Experience Lead,Lead user experience for digital products,UX; Leadership; Communication; Technology; Analytics,Technology,High paying
952,Online Digital Brand Insights Lead,Lead insights for online brands,Analytics; Branding; Communication; Technology; Reporting,Marketing,High paying
953,Remote Digital Product Retention Analyst,Increase retention for digital products,Retention Strategy; Analytics; Communication; Technology; Reporting,Technology,Average paying
954,Online Digital Brand Content Lead,Lead content for online brands,Content Strategy; Branding; Communication; Technology; Leadership,Marketing,Average paying
955,Remote Digital Product Documentation Lead,Lead documentation for digital products,Documentation; Leadership; Communication; Technology; Writing,Technology,Average paying
956,Online Digital Brand Partnership Analyst,Analyze partnerships for online brands,Partnerships; Analytics; Communication; Technology; Reporting,Marketing,Average paying
957,Remote Digital Product Campaign Lead,Lead campaigns for digital products,Campaign Management; Analytics; Communication; Technology; Leadership,Technology,Average paying
958,Online Digital Brand Experience Lead,Lead brand experience strategies,Brand Experience; Leadership; Communication; Technology; Analytics,Marketing,High paying
959,Remote Digital Product Growth Lead,Lead growth for digital products,Growth Strategy; Leadership; Communication; Technology; Analytics,Technology,High paying
960,Online Digital Brand Support Lead,Lead support for online brands,Support; Branding; Leadership; Communication; Technology,Marketing,Average paying
961,Remote Digital Product Insights Lead,Lead insights for digital product teams,Analytics; Leadership; Communication; Technology; Reporting,Technology,High paying
962,Online Digital Brand Retention Lead,Lead retention strategies for online brands,Retention Strategy; Leadership; Communication; Technology; Analytics,Marketing,Average paying
963,Remote Digital Product Experience Lead,Lead user experience for digital products,UX; Leadership; Communication; Technology; Analytics,Technology,High paying
964,Online Digital Brand Training Lead,Lead training for brand teams,Training; Branding; Leadership; Communication; Technology,Marketing,Average paying
965,Remote Digital Product Content Analyst,Analyze and optimize product content,Content Analysis; Communication; Technology; Analytics; Reporting,Technology,Average paying
966,Online Digital Brand Documentation Lead,Lead documentation for online brands,Documentation; Branding; Leadership; Communication; Technology,Marketing,Average paying
967,Remote Digital Product Partnership Lead,Lead partnerships for digital products,Partnerships; Leadership; Communication; Technology; Negotiation,Technology,Average paying
968,Online Digital Brand Release Lead,Lead releases for online brands,Release Management; Branding; Leadership; Communication; Technology,Marketing,Average paying
969,Remote Digital Product Engagement Analyst,Analyze engagement for digital products,Engagement Strategy; Analytics; Communication; Technology; Reporting,Technology,Average paying
970,Online Digital Brand Growth Lead,Lead growth for online brands,Growth Strategy; Leadership; Communication; Technology; Analytics,Marketing,High paying
